の: 529回
､: 406回
い: 363回
に: 349回
る: 346回
｡: 323回
と: 314回
が: 291回
て: 288回
を: 273回
し: 265回
す: 262回
は: 254回
で: 234回
な: 221回
た: 218回
ま: 210回
れ: 185回
り: 143回
こ: 137回
か: 137回
う: 133回
も: 126回
ら: 122回
あ: 111回
く: 106回
っ: 94回
き: 93回
よ: 91回
さ: 87回
え: 85回
そ: 67回
ｰ: 66回
ﾝ: 58回
ん: 56回
や: 56回
わ: 54回
だ: 51回
ど: 50回
け: 49回
日: 48回
ば: 47回
人: 46回
せ: 45回
め: 42回
年: 38回
間: 36回
ｽ: 35回
つ: 33回
時: 33回
): 32回
行: 32回
者: 31回
生: 30回
話: 30回
国: 29回
ﾒ: 29回
的: 28回
｣: 27回
見: 27回
研: 27回
場: 26回
発: 26回
学: 26回
幣: 26回
ﾙ: 25回
｢: 25回
出: 25回
1: 24回
通: 24回
(: 24回
一: 23回
用: 23回
社: 23回
お: 22回
流: 22回
前: 22回
大: 22回
ﾌ: 22回
ﾄ: 22回
電: 20回
金: 20回
内: 20回
上: 20回
ﾗ: 20回
当: 19回
物: 19回
分: 19回
業: 18回
自: 18回
本: 17回
働: 17回
方: 17回
高: 16回
所: 16回
換: 16回
合: 16回
取: 16回
事: 16回
度: 16回
後: 16回
代: 15回
ﾃ: 15回
ず: 15回
中: 15回
性: 15回
得: 15回
経: 15回
ｱ: 15回
ｲ: 15回
定: 14回
持: 14回
講: 14回
体: 14回
欲: 14回
究: 14回
労: 14回
ﾄﾞ: 14回
神: 14回
実: 13回
信: 13回
期: 13回
様: 13回
ﾑ: 13回
み: 13回
現: 13回
同: 13回
今: 13回
対: 12回
ｸ: 12回
成: 12回
来: 12回
始: 12回
貨: 12回
べ: 12回
動: 12回
知: 12回
光: 12回
管: 12回
限: 12回
ｺ: 12回
理: 11回
ﾀ: 11回
明: 11回
続: 11回
入: 11回
要: 11回
果: 11回
道: 11回
制: 11回
ｯ: 11回
味: 10回
決: 10回
仕: 10回
使: 10回
価: 10回
点: 10回
交: 9回
変: 9回
空: 9回
ﾁ: 9回
次: 9回
基: 9回
長: 9回
員: 9回
食: 9回
値: 9回
放: 9回
進: 9回
数: 8回
法: 8回
歩: 8回
情: 8回
3: 8回
機: 8回
ﾘ: 8回
容: 8回
休: 8回
化: 8回
多: 8回
ょ: 8回
私: 7回
ﾌﾟ: 7回
客: 7回
感: 7回
名: 7回
例: 7回
加: 7回
々: 7回
興: 7回
ち: 7回
2: 7回
能: 7回
月: 6回
最: 6回
ご: 6回
ｨ: 6回
思: 6回
じ: 6回
満: 6回
認: 6回
新: 6回
準: 6回
報: 6回
戦: 6回
不: 6回
受: 6回
脳: 6回
結: 6回
増: 6回
超: 6回
起: 6回
作: 6回
条: 5回
原: 5回
必: 5回
風: 5回
関: 5回
題: 5回
初: 5回
付: 5回
活: 5回
際: 5回
験: 5回
ほ: 5回
引: 5回
平: 5回
我: 5回
手: 5回
術: 5回
家: 5回
ｮ: 5回
げ: 5回
考: 5回
夢: 5回
下: 5回
細: 5回
0: 5回
ﾛ: 5回
有: 5回
伏: 4回
何: 4回
清: 4回
適: 4回
ゆ: 4回
別: 4回
違: 4回
ｽﾞ: 4回
外: 4回
演: 4回
工: 4回
気: 4回
役: 4回
在: 4回
4: 4回
強: 4回
力: 4回
暇: 4回
ﾊﾞ: 4回
地: 4回
重: 4回
野: 4回
ﾏ: 4回
位: 4回
ｶ: 3回
割: 3回
低: 3回
ｸﾞ: 3回
呼: 3回
御: 3回
恋: 3回
届: 3回
確: 3回
利: 3回
ｼ: 3回
米: 3回
然: 3回
ﾅ: 3回
般: 3回
熱: 3回
途: 3回
ﾊﾟ: 3回
ﾋﾟ: 3回
形: 3回
百: 3回
頭: 3回
世: 3回
終: 3回
応: 3回
側: 3回
質: 3回
夜: 3回
消: 3回
歴: 3回
選: 3回
目: 3回
産: 3回
約: 3回
へ: 3回
子: 3回
ぐ: 3回
書: 3回
極: 3回
相: 3回
備: 2回
頼: 2回
営: 2回
止: 2回
無: 2回
段: 2回
残: 2回
面: 2回
給: 2回
節: 2回
喜: 2回
囲: 2回
命: 2回
紀: 2回
等: 2回
君: 2回
素: 2回
可: 2回
足: 2回
星: 2回
反: 2回
愛: 2回
種: 2回
資: 2回
費: 2回
識: 2回
安: 2回
提: 2回
宮: 2回
聞: 2回
解: 2回
指: 2回
態: 2回
広: 2回
ひ: 2回
状: 2回
供: 2回
率: 2回
ｬ: 2回
ｼﾞ: 2回
ｭ: 2回
9: 2回
ﾚ: 2回
ろ: 2回
灯: 2回
蛍: 1回
減: 1回
運: 1回
界: 1回
二: 1回
過: 1回
達: 1回
問: 1回
川: 1回
済: 1回
市: 1回
ﾆ: 1回
羽: 1回
常: 1回
造: 1回
教: 1回
T: 1回
ﾊ: 1回
意: 1回
店: 1回
好: 1回
想: 1回
返: 1回
香: 1回
線: 1回
貯: 1回
評: 1回
他: 1回
ｵ: 1回
計: 1回
突: 1回
覚: 1回
以: 1回
立: 1回
校: 1回
小: 1回
銀: 1回
ｴ: 1回
各: 1回
製: 1回
単: 1回
証: 1回
美: 1回
笑: 1回
展: 1回
属: 1回
科: 1回
海: 1回
第: 1回
該: 1回
ぎ: 1回
ざ: 1回
深: 1回
投: 1回
説: 1回
顧: 1回
楽: 1回
込: 1回
身: 1回
式: 1回
水: 1回
快: 1回
6: 1回
型: 1回
眠: 1回
優: 1回
旅: 1回
先: 1回
微: 1回
